start_date,end_date,progress,duration_in_seconds,finished,recorded_date,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_elites_dishonest_r,idealism_elites_considerate,idealism_elites_good,idealism_elites_positive,idealism_elites_right,idealism_elites_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,q_502_first_click,q_502_last_click,q_502_page_submit,q_502_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,effectiveness_of_blm_post,blm_support_cause,blm_support_protests,police_funding,tactic_looting,tactic_burn_stations,tactic_loud_chants,tactic_block_traffic,tactic_gathering,tactic_kneeling,tactic_singing,tactic_silence,scope_climate_change,scope_immigration,scope_covid,scope_healthcare,scope_poverty,scope_other,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race,race_2,age,political_party,political_party_5_text,community_racial_com,gender,gender_4_text,catch_sky_color,household_income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,direct_connection_el,catch_distractions,catch_video_stream,catch_honesty,random_id,condition,vid_time
2020-07-23T10:26:23Z,2020-07-23T10:32:27Z,100,363,1,2020-07-23T10:32:27Z,4,5,5,5,5,4,3,4,4,5,4,4,5,4,3,4,2,4,NA,NA,NA,NA,41.599,41.599,45.418,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,0,0,-1,-1,0,4,3,4,47,2,2,2,2,2,2,2,4,4,3,3,2,4,2,1,1,1,1,1,-1,1,1,1,1,0,0,0,0,1,-1,-1,1,1,1,1,0,0,0,-1,1,1,1,1,4,3,2,2,2,7,NA,47,3,NA,3,1,NA,3,4,7,3,2,2,2,1,1,1,683910,control,45.418
2020-07-23T10:25:25Z,2020-07-23T10:32:27Z,100,422,1,2020-07-23T10:32:27Z,1,5,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,NA,NA,NA,NA,0,0,101.612,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,0,1,1,6,3,4,6,6,6,1,1,1,1,1,1,-1,0,0,0,-1,-1,1,1,1,0,1,-1,-1,1,-1,-1,-1,0,-1,1,-1,1,1,0,1,1,0,0,1,4,3,2,1,1,7,NA,39,0,NA,2,2,NA,3,5,3,1,1,2,1,3,1,1,143897,control,101.612
2020-07-23T10:25:41Z,2020-07-23T10:32:29Z,100,407,1,2020-07-23T10:32:29Z,4,4,4,5,5,4,4,5,5,5,5,4,4,4,4,3,4,4,0,0,99.832,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,1,0,1,0,0,-1,-1,0,1,1,-1,-1,0,-1,0,-1,-1,-1,-1,1,1,0,0,1,3,1,1,1,4,NA,31,0,NA,1,1,NA,3,8,2,1,1,1,1,3,1,1,668634,BLM,99.832
2020-07-23T10:26:45Z,2020-07-23T10:32:29Z,100,344,1,2020-07-23T10:32:29Z,2,2,1,2,3,4,4,4,3,3,3,2,1,6,6,7,6,5,0,0,78.229,0,NA,NA,NA,NA,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,0,1,0,1,3,1,1,0,1,1,2,1,2,4,6,4,1,1,2,2,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,4,5,1,2,5,7,NA,35,1,NA,2,2,NA,3,4,3,2,2,3,3,3,1,1,831192,BLM,78.229
2020-07-23T10:25:16Z,2020-07-23T10:32:43Z,100,447,1,2020-07-23T10:32:44Z,2,6,6,5,6,6,4,4,4,3,4,4,1,6,6,6,6,6,0,0,99.406,0,NA,NA,NA,NA,-1,-1,0,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,1,1,1,-1,3,4,4,0,1,1,6,1,1,6,6,6,1,1,1,1,1,1,-1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,0,0,-1,-1,-1,0,-1,-1,-1,1,0,1,0,1,2,3,2,2,2,7,NA,37,1,NA,4,1,NA,3,5,5,1,1,1,1,3,1,1,406227,BLM,99.406
2020-07-23T10:25:48Z,2020-07-23T10:32:45Z,100,416,1,2020-07-23T10:32:45Z,2,5,5,5,5,5,4,4,4,4,4,4,5,3,3,3,3,3,NA,NA,NA,NA,2.677,3.016,100.082,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,-65,1,1,6,2,6,6,6,6,1,1,1,1,1,1,-1,0,0,1,-1,-1,1,1,0,1,1,-1,-1,0,1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,0,1,2,1,1,1,3,47,NA,27,0,NA,3,1,NA,3,3,2,3,4,1,1,3,1,1,758138,control,100.082
2020-07-23T10:25:45Z,2020-07-23T10:32:54Z,100,429,1,2020-07-23T10:32:55Z,6,3,5,4,2,6,5,4,5,6,5,3,5,5,5,2,3,6,NA,NA,NA,NA,0,0,111.66,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,2,0,-1,0,1,-1,0,0,0,-1,-1,3,3,4,-27,4,3,3,2,2,3,3,4,3,2,3,2,4,2,1,-1,-1,1,1,0,1,1,1,-1,0,0,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,-1,0,-1,1,4,3,5,4,1,7,NA,28,0,NA,1,1,NA,3,3,4,4,3,2,4,3,1,1,185085,control,111.66
2020-07-23T10:25:33Z,2020-07-23T10:32:55Z,100,442,1,2020-07-23T10:32:56Z,7,6,6,6,5,5,5,6,5,5,6,6,6,5,4,6,6,5,NA,NA,NA,NA,0,0,78.912,0,2,-1,0,0,2,0,-1,0,0,2,-1,2,-1,0,0,0,2,0,-1,0,0,-1,0,4,4,3,58,4,4,3,4,6,3,4,3,4,4,3,4,5,2,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,2,2,2,1,4,7,NA,30,1,NA,7,2,NA,3,2,5,4,3,4,4,3,1,1,239098,control,78.912
2020-07-23T10:26:45Z,2020-07-23T10:32:56Z,100,371,1,2020-07-23T10:32:57Z,3,5,6,4,4,6,6,5,5,6,6,5,4,6,6,6,6,6,6.044,50.823,100.144,2,NA,NA,NA,NA,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,2,-1,-1,-1,3,3,3,12,1,1,6,2,1,6,6,6,4,1,4,3,4,4,-1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,3,4,2,3,7,NA,25,0,NA,2,2,NA,3,1,2,3,3,3,3,3,1,1,246138,BLM,100.144
2020-07-23T10:25:49Z,2020-07-23T10:33:01Z,100,431,1,2020-07-23T10:33:01Z,1,7,7,7,7,7,1,7,6,6,6,7,1,5,4,5,4,5,NA,NA,NA,NA,1.955,1.955,100.381,1,2,0,2,2,0,-1,-1,1,0,0,0,0,2,0,0,2,2,2,2,1,1,1,1,2,2,2,100,1,1,6,1,2,6,6,6,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,7,NA,41,2,NA,2,2,NA,3,1,2,2,3,3,3,3,1,1,241300,control,100.381
